Area,Locality,Colony,Lane,Area (sq.ft.),BHK,Bathrooms,Furnishing Status,Distance to School (km),Distance to Hospital (km),Distance to Metro (km),Age of Property (years),Price (Lakhs),Full Address,Latitude,Longitude
Katraj,Bharti Vidyapeeth Campus,Colony 6,Lane No. 3,2670,2,2,Unfurnished,1.22,1.86,2.89,20,335.14,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Bibwewadi,Vishwakarma Nagar,Colony 4,Lane No. 1,510,5,3,Furnished,1.21,2.95,1.59,0,149.045,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Viman Nagar,Tingre Nagar,Colony 2,Lane No. 2,2736,3,3,Furnished,1.86,2.22,5.18,0,361.075,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Kothrud,Karve Nagar,Colony 2,Lane No. 5,1887,5,3,Semi-Furnished,1.32,2.16,5.35,15,478.465,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Viman Nagar,Mhada Colony,Colony 1,Lane No. 4,2445,3,3,Semi-Furnished,2.03,1.49,5.82,13,432.83500000000004,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Hinjewadi,Phase 3,Colony 6,Lane No. 4,1351,4,3,Unfurnished,4.21,3.46,5.22,14,455.26000000000005,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Viman Nagar,Tingre Nagar,Colony 7,Lane No. 4,924,2,2,Furnished,2.05,1.27,3.2,11,113.165,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Wakad,Jambulkar Nagar,Colony 3,Lane No. 5,1762,3,3,Unfurnished,4.65,1.15,5.99,10,289.445,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Kondhwa,Salisbury Park,Colony 7,Lane No. 2,2262,4,3,Furnished,2.56,2.38,2.78,13,586.625,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Bibwewadi,Market Yard,Colony 1,Lane No. 4,2290,2,2,Semi-Furnished,1.82,2.27,3.73,15,189.67,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Viman Nagar,Lunkad Colony,Colony 1,Lane No. 4,737,2,2,Semi-Furnished,1.35,3.83,3.5,1,68.25,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Katraj,Bharti Vidyapeeth Campus,Colony 3,Lane No. 1,1153,5,3,Furnished,1.57,1.43,4.49,18,482.105,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Hinjewadi,Phase 2,Colony 1,Lane No. 1,1909,1,1,Unfurnished,3.31,2.82,4.49,19,130.65,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Baner,Veerbhadra Nagar,Colony 7,Lane No. 1,1999,5,3,Semi-Furnished,1.79,1.54,5.7,9,823.875,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Gokulnagar,Colony 6,Lane No. 2,916,1,1,Furnished,3.18,3.97,5.82,7,67.60000000000001,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Baner,Veerbhadra Nagar,Colony 6,Lane No. 3,1009,2,2,Semi-Furnished,4.6,1.56,1.1,16,98.02,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Kothrud,Paud Road,Colony 2,Lane No. 3,1030,1,1,Unfurnished,3.21,1.41,1.61,2,98.345,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Kothrud,Karve Nagar,Colony 6,Lane No. 4,2560,1,1,Furnished,0.9,2.25,3.31,7,177.515,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Baner,Balewadi Phata,Colony 1,Lane No. 1,869,2,2,Furnished,2.2,1.1,1.77,14,153.92,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Viman Nagar,Lunkad Colony,Colony 2,Lane No. 5,1810,3,3,Furnished,3.18,1.06,3.29,14,302.77,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Hadapsar,Amanora Park Town,Colony 6,Lane No. 5,1793,5,3,Furnished,2.09,0.93,3.02,15,600.145,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Katraj,Gokulnagar,Colony 4,Lane No. 4,2526,2,2,Unfurnished,3.12,1.27,2.75,5,365.03999999999996,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Kothrud,Ideal Colony,Colony 4,Lane No. 1,2069,4,3,Furnished,0.97,1.45,2.81,15,788.71,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Viman Nagar,Tingre Nagar,Colony 6,Lane No. 2,1603,5,3,Semi-Furnished,3.67,0.81,3.2,20,506.35,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Wakad,Datta Mandir Road,Colony 4,Lane No. 5,2299,1,1,Semi-Furnished,4.57,2.54,1.61,16,99.645,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Viman Nagar,Mhada Colony,Colony 2,Lane No. 1,416,5,3,Semi-Furnished,2.08,2.98,3.45,4,138.775,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Hinjewadi,Phase 2,Colony 2,Lane No. 1,2097,1,1,Furnished,1.78,1.81,1.39,5,79.36500000000001,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Hinjewadi,Phase 1,Colony 1,Lane No. 4,2194,1,1,Furnished,2.6,0.51,1.24,13,123.5,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Hinjewadi,Phase 1,Colony 7,Lane No. 4,2071,4,3,Unfurnished,1.66,0.52,3.42,11,531.0500000000001,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
